code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2919,4942771,853102,,,5043866,797773,918419,2003254,313407
2923,20277971,189111,,,14179474,1336034,4026877,16626327,7374590
2924,6221,2966,,,4662,130,150,2556,1758
2926,767108,610837,,,650115,,148288,341656,49556
2927,11411409,5988898,,,7776856,,686536,7942266,1116655
2932,5447652,1491907,,,3732591,,,4052560,2257722
2970,3211,2095,,,302,,,1217,254
2975,75319078,7978613,,,41760,108060,1115121,9778458,46872913
2976,5513517,3068361,,,3201688,961,48997,3977238,3117214
2978,2679949,2632568,,394525,,,73138,395768,1816753
2980,11183308,2637195,,,152969,80000,477955,1843595,2618040
2981,6945495,3643533,,,1927800,,147868,3053838,1147331
2982,34966665,6825307,,,171571,304106,951986,5589269,16895834
2983,14602073,2598892,,,1014895,,387005,9320018,4406755
3001,55731,34082,,,45835,33676,36502,19961,33154
3002,72090,9717,,,64923,15638,21004,30863,13587
3003,292400,124871,,,1517002,150509,179080,142005,1434533
3004,13421,1351,,,4554,2810,3101,12713,5805
3010,2514713,1839505,,,1206330,17009,1260660,1872556,3908730
3011,2315611,1524492,,,6487613,18402,473702,1534973,5488687
3020,10864,2540,,,4754,35,1123,5764,2048
3021,2194914,1576212,,,2871075,,216130,1676887,1489514
3023,18920,5046,,,8007,3020,4199,10227,3976
3024,11165582,1111749,,,2074812,203494,1893961,8692379,2347505
3028,117483,42279,,,43155,,30917,72287,18000
3030,2333253,1529854,,,2055568,,1240155,3003940,1269401
3031,10057307,5650588,,,1467917,408555,644741,5679661,1298580
3032,2356697,895242,,,255953,13913,348326,1774267,796134
3034,45499,19648,,,12730,183,7393,38709,20026
3036,98361,27072,,22719,,,,69549,27897
3038,90823,62793,,,42779,,,38521,41091
3041,1556550,887525,,,609470,,262503,1069225,1033715
3042,1152808,980103,,,56333,34188,120006,235723,8024
3045,787360,383520,,,5033507,,306315,616883,1003591
3046,34891,23555,,,9008,,7152,11412,22511
3047,2993417,498602,,,1597762,30756,113572,3052810,1010086
3048,265444,102561,,,89072,,80506,178140,110443
3057,1003015,524860,,,1618668,0,880576,1978909,1412976
3058,9797061,3819613,,,3553364,230777,1273558,8360426,3026322
3059,11223451,6788116,,,5588158,45340,253837,4388874,5626438
3063,3413435,2320856,,,5735303,7330,1339555,3210565,7506673
3064,48294,9988,,,26253,,3040,22078,11214
3065,4509723,4019490,,,834798,200000,1499526,1894263,2666914
3067,1872640,1068426,,,1393688,,661667,1120199,1696500
3068,9506358,7418752,,,2716767,,1868804,3276743,6596581
3069,24007743,6072626,,,17717215,2757956,6082318,28355079,13882396
3070,1246217,875114,,,,2052,126449,864494,442186
3071,5142065,1394259,,,152562,2504,457982,3270655,435145
3073,8508269,4259976,,,10956017,1289176,8522956,15616518,15994140
3075,10708413,9913730,,,1120858,,1473466,6088437,376294
3076,45187,29154,,,9599,1954,8772,8552,4591
3077,1560296,1170533,,,208056,97438,686344,1294115,387456
3079,19176606,6486000,,,801099,30000,582539,12197359,448962
3080,6210126,3681119,,,1973277,,1203979,3779789,921467
3083,1230883,572357,,,,28870,312378,387414,195842
3085,20065,15442,,,6242,288,3292,5994,3612
3087,43818,26309,,,47019,569,23783,13913,7333
3088,175696,38517,,,72789,66897,111546,84887,37575
3089,1603316,619618,,,,217569,352054,517238,221253
3091,12973260,11611386,,,9909842,,2376637,1913996,6358428
3092,99796,61648,,,12019,685,10925,65180,4968
3093,6628580,1994170,,,1601872,7606,1895555,3985961,2120254
3094,9943712,5195595,,,12327809,,4276534,16276695,7349369
3096,6770541,2616702,,,9651346,593934,2408311,7232677,3850479
